q,imax,pmax,grid,tol,tau_eff_global,alpha_found,alpha_value,p,min_IL,ok_IL,min_IM,ok_IM,min_IR,ok_IR,Spp_approx,Spp_pass,cert_IL_L_ok,cert_IL_Lprime_ok,cert_IM_M_ok,min_margin_IL_L,min_margin_IM_M,root_count_window,min_margin_IR_quad,alpha_IR_quad_min
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,373,0.3793012898592967,True,0.35362110646982714,True,1.2840189107016903e-05,True,3.9637677062882677,True,True,False,False,0.27644735826934186,0.3050580097496058,0,9.293343323561294e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,379,0.350169572195001,True,0.32772246914236136,True,1.3868584394753889e-05,True,4.286778967851946,True,True,False,False,0.23760506805028106,0.27052649331298473,0,1.032173861129828e-05,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,383,0.218829721377852,True,0.2082685778698355,True,1.2959854626996756e-05,True,4.014141188524702,True,True,False,False,0.06248526696074905,0.11125463828295029,0,9.413008843541147e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,389,0.27568036388091355,True,0.2600664952713692,True,1.3413870034578e-05,True,4.151031321508953,True,True,False,False,0.13828612363149775,0.18031852815166188,0,9.867024251122392e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,397,0.3916484031763878,True,0.3649446091914122,True,1.2991983984687142e-05,True,4.0100001541094565,True,True,False,False,0.29291017602546343,0.3201560133783859,0,9.445138201231533e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,401,0.33083374819978073,True,0.3102708601428278,True,1.3632825415055398e-05,True,4.214632860182232,True,True,False,False,0.2118239693899873,0.24725768131360665,0,1.0085979631599789e-05,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,409,0.39283333313665325,True,0.36629525329332047,True,1.3654297339652007e-05,True,4.2164858850247136,True,True,False,False,0.29449008263915066,0.3219568721809302,0,1.0107451556196398e-05,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,419,0.2254953721214838,True,0.21476370804315265,True,1.3806730295370458e-05,True,4.277606689250703,True,True,False,False,0.0713728012855914,0.11991481184737313,0,1.0259884511914849e-05,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,421,0.4420294081436597,True,0.41101515448997344,True,1.3820053520717509e-05,True,4.264063434189484,True,True,False,False,0.36008484931515927,0.3815834071098009,0,1.02732077372619e-05,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,431,0.2641843965837641,True,0.2498727895287868,True,1.3788362397672937e-05,True,4.268643239310061,True,True,False,False,0.12295816723529848,0.16672692049488536,0,1.0241516614217328e-05,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,433,0.39982832562630855,True,0.37255035506629214,True,1.3453870056016608e-05,True,4.153360043269587,True,True,False,False,0.30381673929202435,0.3302970078782258,0,9.907024272560999e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,439,0.32414122439937487,True,0.30400560061345705,True,1.371566874265448e-05,True,4.241273555171322,True,True,False,False,0.20290060432277954,0.23890400194111233,0,1.0168822959198871e-05,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,443,0.22189176590287962,True,0.21103827460107877,True,1.2789241721124605e-05,True,3.960605617664961,True,True,False,False,0.06656799299411917,0.11494756725794131,0,9.242395937668996e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,449,0.30712110242622315,True,0.2889707605812906,True,1.4101025679292549e-05,True,4.362563931815568,True,True,False,False,0.18020710835857726,0.21885754856489043,0,1.055417989583694e-05,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,457,0.3934517334425075,True,0.3666545616764243,True,1.3021257221093478e-05,True,4.018893247190457,True,True,False,False,0.29531461638028966,0.32243595002506864,0,9.474411437637868e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,461,0.3194214176135574,True,0.29997636216568807,True,1.3795924967212347e-05,True,4.266447979767973,True,True,False,False,0.19660752860835626,0.2335316840107537,0,1.0249079183756738e-05,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,463,0.3438465262754497,True,0.3216919191815214,True,1.3305266174605694e-05,True,4.111676070291167,True,True,False,False,0.22917434015754598,0.26248576003186486,0,9.758420391150085e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,467,0.22090489188488643,True,0.2102144257404583,True,1.2910455004622486e-05,True,3.998467000543581,True,True,False,False,0.06525216097012829,0.11384910211044735,0,9.363609221166876e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,479,0.2220244601811172,True,0.21155385758713302,True,1.3650040363060186e-05,True,4.229019324390542,True,True,False,False,0.06674491869843599,0.115635011239347,0,1.0103194579604577e-05,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,487,0.3314387381064438,True,0.3103594249523819,True,1.3036544978513589e-05,True,4.028875068101713,True,True,False,False,0.21263062259887142,0.2473757677263455,0,9.48969919505798e-06,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,491,0.2811547399715306,True,0.2652294293244629,True,1.3732973600137327e-05,True,4.250005000472838,True,True,False,False,0.14558529175232052,0.18720244022245353,0,1.0186127816681718e-05,0.00011959906005859375
1.5,82,500,1000,1e-12,1.0254366094935377e-12,False,0.48987775,499,0.3241100809313284,True,0.30384939486935353,True,1.3396739520349829e-05,True,4.141851815670043,True,True,False,False,0.20285907969871755,0.238695727615641,0,9.84989373689422e-06,0.00011959906005859375
